城市,职位名称,职位描述,薪资,经验,学历,标签,更新时间,职位链接,公司名称,公司地址,成立日期,简介,,,,,,,,,,,,
上海,「Golang招聘」_bilibili招聘-BOSS直聘,1、三年以上工作经验，计算机软件或相关专业，本科以上学历；2、熟悉GO Web服务开发；3、熟悉分布式、多线程及高性能的设计与编码及性能调优；4、拥有良好的代码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；5、具有MySQL索引优化、查询优化和存储优化经验方面的经验。要求随时随地贯彻最优化开发的思想；6、有较强的与业务人员的沟通能力，分析问题和解决问题的能力，有强烈的责任心，有较强的抗压能力7、热爱开发工作，追求细节，团队合作意识良好；优先考虑：1.热爱B站社区2. 有互联网大型项目经验3. 参与github开源项目,25-45K,5-10年,本科,"Go,后端开发,分布式技术,微服务架构,Linux",2020/6/27,https://www.zhipin.com/job_detail/d2db16e10ddbd4360X193du5FFE~.html,上海哔哩哔哩科技有限公司,上海杨浦区国正中心,2016/12/30,哔哩哔哩（bilibili）是中国领先的年轻人文化社区，该网站于2009年6月26日创建，被粉丝们亲切的称为“B站”。 根据数据公司QuestMobile发布的《移动互联网2017年Q2夏季报告》，B站位列24岁及以下年轻用户偏爱的十大APP榜首。同时，在百度发布的2016热,,,,,,,,,,,,
上海,「Golang招聘」_腾讯互娱招聘-BOSS直聘,工作要求：本科以上学历，计算机软件或相关专业；3年及以上开发工作经验；软件知识结构全面，基础扎实，精通常用数据结构与算法；熟悉linux操作系统，了解Shell，能熟练使用linux系统下的PHP(swoole)或C、C++或Golang进行编程；熟悉MYSQL或其他大型数据库，能够快速根据需求完成高性能数据库设计，有网络系统的开发经验；熟悉HTML/JS/CSS等技术，熟悉面向对象开发技术，具有互联网大型Web业务开发经验者优先；高度的责任心、出色的技术学习能力，良好的沟通技巧和团队合作精神。工作职责：负责游戏在线营销活动、营销系统的开发、运营；负责游戏官方网站建设的各类应用的开发、运营；负责游戏运营系统及组件的技术攻坚和维护优化,15-30K,3-5年,本科,"Golang,Javascript,PHP",2020/5/29,https://www.zhipin.com/job_detail/ff76d0ac99074a4a1n1y2du-EVE~.html,腾讯科技（上海）有限公司,上海徐汇区上海腾讯大厦,2008/7/23,腾讯互动娱乐，全球领先的综合互动娱乐服务品牌，旗下涵盖腾讯游戏、腾讯文学、腾讯动漫等多个互动娱乐业务平台，致力为用户提供包括网络游戏、文学、动漫、戏剧、影视等在内的多元化、高品质综合互动娱乐体验。立足“泛娱乐”战略，腾讯互动娱乐持续基于互联网与移动互联网的多领域共生，打造明星,,,,,,,,,,,,
上海,「Golang招聘」_传音控股招聘-BOSS直聘,"职位描述：golang工程师岗位职责：1、采用Go语言(Golang)开发稳健可扩展的后端程序；2、通过单元测试、自动化以及代码审查等提升优化代码质量；3、维护线上系统，持续对系统进行优化和改进；4、积极参与各种头脑风暴会议并对用到的技术、算法和产品功能提出意见和建议；5、同产品和设计团队协作，理解用户需求，归纳功能用例，并转化为高效的技术解决方案；6、重点及难点技术攻坚，并按时交付研究成果。任职要求：1、本科及以上学历，计算机相关专业；2、3年以上的实际项目开发经验，有一定的互联网分布式系统设计和实现经验；3、熟悉Linux环境下的go语言开发，对HTTP/TCP协议有深入的了解；4、工作认真负责有责任心，善于学习和总结，乐于分享，有较强的团队精神；7、精通MySQL或者PostgreSql,redis/MemCache的应用开发、设计原理和性能优化；8、具备Linux/Unix平台下的编程和操作经验，熟悉一种或者多种脚本语言(Python, Perl或者Shell)等。",15-25K,3-5年,本科,"计算广告,高性能服务器,Golang",2020/5/29,https://www.zhipin.com/job_detail/4ecbd6a3911f65831nN62ti8F1Y~.html,深圳传音控股股份有限公司 ,上海浦东新区腾飞科技楼,2013/8/21,传音控股是一家面向全球新兴市场的智能终端产品和移动互联网公司。自公司成立以来，传音一直着力为新兴市场用户提供优质的、以手机为核心的多品牌智能终端，并基于智能终端操作系统和流量入口，为用户提供移动互联网服务。传音旗下拥有新兴市场知名手机品牌TECNO、itel及Infinix，还包括数码配件品牌Ora,,,,,,,,,,,,
上海,「Golang招聘」_bilibili招聘-BOSS直聘,"工作职责：1、独立负责B站直播相关一个或多个微服务业务模块；2、参与基础库，服务发现治理，中间层研发。任职要求：1、3年及以上的的服务端开发经验，具有扎实的计算机基础；2、熟悉Linux, 熟悉网络编程&高并发编程，独立负责过QPS/TPS>10k的系统，具有很强的线上定位问题能力；3、具有很强的业务抽象和架构能力，数据敏感，较深刻了解MySQL Redis Nginx等服务端相关软件的原理及使用，能够独立决策技术选型，进行复杂的系统设计；4、有GoLang编程经验，会PHP加分；5、有严谨的工作态度，思路清晰，业务敏感，执行力强；6、文档能力强，书面表达、口头表达能力佳。",18-30K,1-3年,本科,"GO,后端开发",2020/6/24,https://www.zhipin.com/job_detail/8a501f0bb6f2dcb903Zy09-4FVU~.html,上海哔哩哔哩科技有限公司,上海杨浦区国正中心,2016/12/30,哔哩哔哩（bilibili）是中国领先的年轻人文化社区，该网站于2009年6月26日创建，被粉丝们亲切的称为“B站”。 根据数据公司QuestMobile发布的《移动互联网2017年Q2夏季报告》，B站位列24岁及以下年轻用户偏爱的十大APP榜首。同时，在百度发布的2016热,,,,,,,,,,,,
上海,「Golang招聘」_ezbuy招聘-BOSS直聘,Golang开发工程师职位描述：职位职责： 1、负责电商后台的服务器端开发； 2、对现有架构、性能进行优化。 职位要求： 1、精通PHP/Go开发，或者有意向转Go/python，有较强的架构能力和良好代码规范； 2、精通GNU Linux，熟悉SQL，并了解常用的SQL优化技巧；熟悉MySQL，并掌握常用性能优化技巧； 3、熟悉Memcached或Redis、MongoDB等NoSQL技术，有大规模系统设计和开发经验者优先； 4、学习能力强，具备良好的问题分析和解决能力，对新技术有敏感性并愿意致力于新技术研究； 5、质量意识高，对项目质量追求完美； 6、沟通能力强，良好的团队合作精神； 7、有商城开发经验优先； 8、计算机、通讯、数学等相关专业本科以上学历。,20-40K,5-10年,本科,"后端开发,系统架构,GO",2020/5/29,https://www.zhipin.com/job_detail/76fd666b0f9ed9281nx83NS4GFU~.html,前海煦逸信息技术（深圳）有限公司,上海浦东新区张江,2015/3/20,"ezbuy（ezbuy International Holding Co., Ltd， 前海煦逸信息技术（深圳）有限公司）是跨境海淘电子商务平台，专注于全球特别是东南亚地区的海淘业务，为客户提供专业的Buy for me、Ship for me、ezbuy 等X2C服务。ezbuy 2011年建",,,,,,,,,,,,
上海,「Golang招聘」_UCloud招聘-BOSS直聘,职位1 负责云计算平台实时监控及智能告警平台的开发和设计工作职位2 负责云平台短信服务产品的开发和设计工作,20-40K,5-10年,本科,"后端开发,Golang,云计算,分布式技术,大数据",2020/6/27,https://www.zhipin.com/job_detail/91c6c1c3c56be0be1nZ43t-_GVA~.html,优刻得科技股份有限公司,上海杨浦区城市概念软件信息服务园10号B楼,2012/3/16,UCloud（上海优刻得信息科技有限公司），是国内顶尖的公有云服务商，自主研发并提供计算资源、存储资源、网络资源等企业必需的基础 IT 架构服务，并深入了解互联网、移动互联网、传统企业不同场景下的业务需求，提供全局解决方案。我们飞速发展，造就了一个个业内传奇： 2012 年成立的 UCloud，继2,,,,,,,,,,,,
上海,「golang招聘」_晓信招聘-BOSS直聘,"我们的优势1、全栈Go语言开发高可用、 高并发（700万日活）的后端组件、服务，实现你的高并发梦；2、服务微服务化，全部上k8s且一键部署，减轻你的部署烦恼；3、公共仓库，可以看到所有的Go代码，满足你的求知欲；4、定期技术分享，可换岗学习，让你距离大牛越来越近；任职要求:1、大学本科以上学历计算机相关专业；2、一年以上Go语言开发经验；3、熟练掌握MySQL、mongodb、Redis,熟悉Linux者优先；4、熟练掌握常用数据结构和算法；5、熟悉Socket和多线程编程；6、具有良好的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题，责任心强，具备良好的团队合作精神和承受压力的能力；7、学习能力强，能够无障碍阅读英文技术文档。欢迎应届生投递！技术团队100人+后端30人+接受年后到岗",20-40K,1-3年,本科,Go,2020/5/29,https://www.zhipin.com/job_detail/46cbcd827fd5aa770HR929-0EFI~.html,上海晓信信息科技有限公司,上海市 杨浦区 中航·天盛广场-C楼办公楼 C座6楼,2015/4/9,晓黑板是基于青少年的成长规律、根据老师与家长的需求定制的一款专业、科学、现代化的家校沟通与家校管理工具。截止2020年2月，晓黑板在全国覆盖了11万多所学校，有200余万教师和4000余万家庭正在使用晓黑板。晓黑板由上海晓信信息科技有限公司出品，公司成立于2015年，深耕中国K12基础教育领域的互,,,,,,,,,,,,
上海,「Golang招聘」_高顿教育集团招聘-BOSS直聘,职位描述：1、负责公司产品的服务端开发；2、负责公司产品部分架构设计。工作要求：1、本科及以上学历，计算机相关专业；2、3年以上开发经验，至少1年以上Golang开发经验；3、有良好的编程习惯，对编程有非常浓厚的兴趣，重视Code Review；4、具备较强的解决问题和性能优化的能力；5、有Github开源作品以及个人Blog的优先考虑。,20-35K,3-5年,本科,Golang,2020/5/29,https://www.zhipin.com/job_detail/a17d6caf2237c2841HRy39S4FFo~.html,上海高顿教育科技有限公司,上海市 虹口区 上海花园坊节能环保产业园,2014/4/15,高顿集团背景简介;1、高顿财税学院是中国最大的财税学习平台；2、准上市公司，13年历史，全国42家分公司，6000多名员工业务，覆盖100座城市;3、原阿里巴巴CEO卫哲战略投资，并担任总裁顾问；4、先后获得新东方、前程无忧战略投资，2018年11月获得摩根士丹利、高瓴资本领投8个亿的C轮融,,,,,,,,,,,,
上海,「Golang招聘」_高顿教育集团招聘-BOSS直聘,1、负责公司产品的服务端开发；2、负责公司产品部分架构设计。工作要求：1、本科及以上学历，计算机相关专业；2、3年以上开发经验，至少1年以上Golang开发经验；3、有良好的编程习惯，对编程有非常浓厚的兴趣，重视Code Review；4、具备较强的解决问题和性能优化的能力；5、有Github开源作品以及个人Blog的优先考虑。,15-30K,3-5年,本科,"GO,微服务,数据库",2020/5/29,https://www.zhipin.com/job_detail/5e383de96ad09c011HRy3t28ElI~.html,上海高顿教育科技有限公司,上海虹口区上海花园坊节能环保产业园A区A5,2014/4/15,高顿集团背景简介;1、高顿财税学院是中国最大的财税学习平台；2、准上市公司，13年历史，全国42家分公司，6000多名员工业务，覆盖100座城市;3、原阿里巴巴CEO卫哲战略投资，并担任总裁顾问；4、先后获得新东方、前程无忧战略投资，2018年11月获得摩根士丹利、高瓴资本领投8个亿的C轮融,,,,,,,,,,,,
上海,「Golang招聘」_哔哩哔哩招聘-BOSS直聘,工作职责：-负责Bilibili，弹幕，动态，评论，用户增长等系统核心功能架构设计与开发-根据团队发展计划对后续技术和相关业务做出规划与实施 职位要求：-有扎实的计算机基础，较强的算法能力 -熟悉go语言的开发工作; 或有扎实的C++/Java/PHP开发能力，精通面向对象分析和设计技术，包括设计模式、UML建模等； -熟悉MYSQL数据库并有相关关系数据库设计经验 -有一定的项目开发经验和软件工程意识 -有大型电商应用开发的背景经验优先 -有大访问量网站建设或数据库建设经验优先 -具有比较强的分析问题和解决问题的能力 -对技术有钻研精神，积极主动，乐于分享并具有快速的学习能力和适应能力 -良好的团队协作精神和执行力,22-40K,经验不限,本科,"后端开发,Golang,GO",2020/6/25,https://www.zhipin.com/job_detail/86cb3d1e3cea9f4a1nN-3d21GFM~.html,上海哔哩哔哩科技有限公司,上海杨浦区国正中心,2016/12/30,bilibili是中国年轻人高度聚集的娱乐平台和社区，该网站于2009年6月26日创建，又称“B站“。 bilibili以社区文化著称，我们的用户具有极高的活跃度和粘性。bilibili提供了多元化的优质内容，主要是由我们的用户源源不断创造的。bilibili的业,,,,,,,,,,,,
上海,「Golang招聘」_中移上海产业研究院招聘-BOSS直聘,"工作内容：1、负责产品的后端服务器、微服务、容器、Devops等技术开发与维护工作，项目和产品的设计过程以及系统架构优化，配合项目经理,TL和测试工程师有效完成项目交付；2、负责完成软件开发相关文档的编写工作；3、负责平台中间件开发/测试工作，以及性；4、负责业务产品功能、性能、稳定性及问题处理，业务产品实施上线、及故障排除和处理；任职资格要求知识和经验：1、精通使用Golang/C++开发语言；2、熟悉 docker/kubernetes/openstack部署运维、性能调优，具备定制化开发能力；3、熟悉常用软件设计模式；4、熟悉云计算技术，有PaaS平台开发经验优先；5、熟悉Git，Jenkins等工具；6、熟练使用常用本地、分布式缓存（redis、memchache、etcd等）、分布式文件系统（glusterfs、ceph等）；7、熟悉TCP/IP、HTTP协议以及网络编程；8、有网管，定位，边缘计算产品经验优先；",25-35K,3-5年,本科,"Go,C++,分布式技术,网络协议,容器技术,后端开发,GIT,Jenkins",2020/6/17,https://www.zhipin.com/job_detail/4e0e1f6b6182d9fa0HZy0t26FFE~.html,中移（上海）信息通信科技有限公司,上海浦东新区金桥现代产业服务园区,2018/9/18,"微信公众号:中国移动上海产业研究院中移（上海）信息通信科技有限公司（上海产研院）是中国移动通信集团的全资子公司,是中国移动面向工业能源、交通、金融等行业提供信息化产品和能力的专业研发机构，把握5G、人工智能等新技术与行业融合发展的契机，以信息化、智能化为杠杆培育新动能，致力成为工业能源、金融、交",,,,,,,,,,,,
上海,「golang招聘」_中泰证券招聘-BOSS直聘,"岗位职责 1、负责app后台服务器开发，支撑百万日活项目； 2、根据需求，采用良好的解决方案，完成项目； 3、负责项目的维护优化，不断演进，提高性能和质量。 任职要求 1、至少2年以上Golang开发经验； 2、 熟悉主流Go Web框架设计和实现原理(gin、beego等)，了解gRPC； 3、熟悉Mysql, redis等主流数据库和Nosql,理解其使用场景及限制; 4、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、socket等相关技术； 5、熟悉分布式系统，微服务体系，熟练掌握一种以上服务框架和消息中间件，了解其实现原理。6、 有强烈的责任心、沟通能力强、有较强的团队合作意识，具备良好的独立思考能力。7、硕士及211、985本科，计算机相关专业",15-25K·15薪,3-5年,本科,Go,2020/5/29,https://www.zhipin.com/job_detail/1e1b59f19d8d93500HZz29q5GFE~.html,中泰证券股份有限公司,上海市 浦东新区 陆家嘴投资大厦 12楼,2001/5/15,中泰证券股份有限公司（原名齐鲁证券有限公司，以下简称“中泰证券”或“公司”）是全国大型综合类券商，目前有员工7400多人，在全国28个省、市、自治区设有41家证券分公司、280多家证券营业部，控股鲁证期货股份有限公司、中泰资本股权投资管理（深圳）有限公,,,,,,,,,,,,
上海,「Golang招聘」_阿里巴巴集团招聘-BOSS直聘,一、职位描述阿里巴巴 Teambition 技术架构团队是新成立的一个团队，目标是通过技术架构的演进，让 Teambition 的研发效率、产品稳定性、架构灵活性达到业界同类产品领先水平。我们需要对技术充满热情、追求卓越的你，一起来建设 Teambition 的未来技术设施。二、岗位职责- 职级为阿里巴巴 P7，技术专家；- 负责基础技术设施（如灰度系统、网关或其它中间件、分布式服务框架等）的设计、前后端开发工作，并推动业务团队落地使用；- 深入理解业务团队需求，分析和发现系统的短板，从技术层面推动系统优化、架构升级;- 为业务团队引入创新的技术、解决方案，用创新的思路解决问题。三、任职要求- 大学本科或以上学历，2年以上后端开发经验；- 掌握 Go 语言开发，熟悉主流 Go Web 框架设计和实现原理；- 有前端开发经验，熟练使用 React 技术栈进行前端开发；- 熟练使用 Docker / k8s，熟悉 k8s 运行机制；- 熟练使用 MongoDB / PostgreSQL / Redis 等数据库；- 熟悉分布式系统的设计和应用，熟悉缓存、消息、搜索等机制，能对分布式常用技术进行合理应用，解决问题；- 对业界新技术敏感，有技术热情和自驱力，追求编写优雅的代码；四、加分项- 在 Github 上参与贡献过优秀 Go 语言开源项目；- 阅读并理解 k8s 或其它著名 Go 语言开源项目源码；- 有 Java 开发经验，熟练使用 SpringBoot、Mybatis 等开源框架；- 有 Node.js 开发经验，熟练使用 Express/koa 等开源框架；- 有大型分布式、高并发、高负载、高可用系统设计、开发和调优经验。,30-50K·16薪,5-10年,本科,"Go,分布式技术,容器技术,负载均衡技术,Node.js,全栈开发,云计算,k8s",2020/6/24,https://www.zhipin.com/job_detail/db6e456a21516b080Xx-39--FFA~.html,杭州阿里巴巴网络科技有限公司,上海浦东新区ZJ人工智能岛A2栋阿里研发中心,2018/3/19,阿里巴巴集团的使命是让天下没有难做的生意。我们旨在赋能企业改变营销、销售和经营的方式。我们为商家、品牌及其他企业提供基本的互联网基础设施以及营销平台，让其可借助互联网的力量与用户和客户互动。我们的业务包括核心电商、云计算、数字媒体和娱乐以及创新项目和其他业务。我们并通过子公司菜鸟网络及所投资的关,,,,,,,,,,,,
上海,「GO 开发工程师招聘」_bilibili招聘-BOSS直聘,负责开放平台、票务平台的架构设计、研发和维护-负责根据项目的进度与需求按时完成所需功能的开发职责要求-本科学历及以上，计算机相关专业优先-3年以上互联网产品后端软件开发及维护工作经验-熟悉PHP/JAVA/C++/GO中的一种或多种开发语言及其主流web架构-熟悉Mysql、Nginx、Redis等Web相关软件，有相关开发、优化经验者优先，有良好的编程风格和文档习惯-熟悉Mysql数据库，拥有优秀的数据库设计能力，对数据库的基本理论及其内部实现机制有比较深刻的理解-熟悉网络安全相关知识-熟悉Linux\Unix，有丰富的开发经验-具有很强的发现问题、分析问题和解决问题的能力-具有较好的逻辑思维分析和沟通表达能力，有一定的自学能力，较强的团队协作意识,20-40K,3-5年,本科,"GO,后端开发,系统架构",2020/6/25,https://www.zhipin.com/job_detail/5b3450d93a3c4bc71Hd63Nm-FFQ~.html,上海哔哩哔哩科技有限公司,上海杨浦区国正中心3号楼,2016/12/30,哔哩哔哩（bilibili）是中国领先的年轻人文化社区，该网站于2009年6月26日创建，被粉丝们亲切的称为“B站”。 根据数据公司QuestMobile发布的《移动互联网2017年Q2夏季报告》，B站位列24岁及以下年轻用户偏爱的十大APP榜首。同时，在百度发布的2016热,,,,,,,,,,,,
